epoch,train_loss,val_loss,rmse_Qi,rmse_Qe,rmse_Gamma
1,0.98352060694176,1.2574107264861083,1.092838,1.1444998,1.1260802
2,0.7254548255822806,4.005103404705341,1.7783197,2.0441265,2.162044
3,0.645971435187722,8.789970422402407,2.6974413,2.8312368,3.3283367
4,0.570541690026265,12.446110896575146,3.459238,3.5511386,3.572312
5,0.5314325766522747,6.037673534491123,2.5202088,2.4278984,2.4221637
6,0.5261775579915118,2.968903431525597,1.8165463,1.6620225,1.6865795
7,0.5192759287065026,14.956160814334185,4.0589333,3.6280031,3.9027102
8,0.5046885551165924,0.8285306676840171,0.9102689,0.9194419,0.9009048
9,0.46653846293878454,0.733506196584457,0.85696113,0.86308676,0.8492451
10,0.4739511897569018,0.4538815602278098,0.6707621,0.6861448,0.66402406
11,0.429537438761705,0.4871284633110731,0.69974107,0.7105134,0.6833141
12,0.4254399293394231,3.5607665318709154,1.8957253,1.8370402,1.9271247
13,0.3988237931911371,2.78427521387736,1.6766846,1.6060534,1.7210891
14,0.39769585776939065,0.4330409941000816,0.654562,0.6689404,0.6505306
15,0.35065905117531065,0.5949732333612747,0.76924664,0.7792895,0.7654328
16,0.34086125040613513,0.7935296816703601,0.8926034,0.89573884,0.88402504
17,0.3464960000916585,0.3806801237739049,0.61443996,0.6304239,0.6058626
18,0.28909987770418116,2.3090751660175814,1.5318046,1.4934609,1.5330927
19,0.3078844981279963,0.5199380783507457,0.71932507,0.73368233,0.7099969
20,0.30303737120841867,0.25275111465882033,0.50106025,0.51539177,0.49149102
