epoch,train_loss,val_loss,rmse_Qi,rmse_Qe,rmse_Gamma
1,1.048462574074908,1.397124053259206,1.1650199,1.2183748,1.1617504
2,0.9724209498422256,1.2973567845860148,1.1211011,1.1890237,1.1051807
3,0.878865672805445,39.72217048086771,6.676677,6.452637,5.740381
4,0.7440430889446238,41.01539832014379,6.5881753,6.4979167,6.117124
5,0.7146715420048412,38.168884897619726,5.879948,6.3154745,6.3283205
6,0.6720729973419572,4.225797469053811,2.0029426,2.1986628,1.9574208
7,0.6617887598389209,0.9115912854913774,0.9219136,1.0068003,0.933382
8,0.6025279945716625,1.2468375054801382,1.1093919,1.1802835,1.0567366
9,0.6135449240685802,1.9479796057794152,1.3796535,1.4351345,1.3714532
10,0.6329982679710802,0.8412178122415775,0.88854903,0.9532162,0.9085774
11,0.6201100681370836,0.7473769083740266,0.8354067,0.9109828,0.84518427
12,0.5574226287322316,0.7282928298643934,0.82713485,0.89785594,0.83341527
13,0.566651127202724,0.727323791845058,0.829269,0.8961307,0.8314049
14,0.5396140951128187,0.806370234586359,0.86759824,0.9331266,0.891997
15,0.5119931486240894,0.8279022453277092,0.8713377,0.94824415,0.9084659
16,0.49882161148841464,0.8801494609655404,0.9076428,0.97302824,0.9326569
17,0.5005589119867904,0.7634225279335084,0.8464066,0.9175917,0.8555049
18,0.45472821528672525,0.6668368115173122,0.7876991,0.8562179,0.80432034
19,0.4623031887581678,0.7652870715875936,0.85286003,0.91460717,0.8555616
20,0.41732910820623725,0.7202804806392368,0.81967735,0.8858842,0.83915406
21,0.4386272169447688,0.7139354164038247,0.82307714,0.88470006,0.8256247
22,0.4058524228854554,0.6577659807796401,0.7889438,0.8509713,0.7916527
23,0.38892891227714416,0.7371789094636111,0.8422996,0.8906122,0.8419495
24,0.3975781524165213,0.7298668390367089,0.8355671,0.8855448,0.8409748
25,0.42782671632482433,0.717820798963066,0.8377744,0.8846208,0.8179499
26,0.41501406594343626,0.6704808318518042,0.79856116,0.85605985,0.8005648
27,0.3851758069219951,0.7875865814768201,0.86305344,0.92704904,0.8709065
28,0.3408572166996597,0.7460208928924266,0.84951395,0.9064618,0.83349615
29,0.3397686725386436,0.8182826232679976,0.87657064,0.9496035,0.88584715
30,0.31217409205953606,0.799851490230095,0.8791174,0.93008566,0.87272465
