epoch,train_loss,val_loss,rmse_Qi,rmse_Qe,rmse_Gamma
1,1.0773410652049635,1.5702451446226664,1.2370788,1.2828875,1.2387787
2,1.0186592876595795,1.5597225269154897,1.2333989,1.2866133,1.2257735
3,1.0008400366419838,1.5306394135668164,1.2194488,1.2675959,1.2239535
4,0.9619023085586609,1.511919528245926,1.2014779,1.267698,1.2186673
5,0.9155284620466686,1.341083027304165,1.1286458,1.2141349,1.1292847
6,0.7861811321563822,10.748392475975884,2.8998766,3.2525709,3.640971
7,0.7037669093835921,14.645474978855678,3.4550593,3.9763854,4.0233507
8,0.7124990032463477,14.992999303908576,3.488676,4.1896544,3.9057562
9,0.6303127918924604,3.236756540480114,1.7923236,1.8586375,1.7445089
10,0.6191396145593553,17.443317519293892,3.9533005,4.475832,4.082684
11,0.6207180660237711,5.005562244899689,2.2057796,2.3061237,2.1984124
12,0.5894781366857902,1.2944663526519897,1.1439253,1.1589103,1.1098468
13,0.5769745808429819,3.670921011576577,1.9129006,1.9422002,1.8924676
14,0.5691795068443137,0.9714991095520201,0.98277086,1.0184427,0.9546901
15,0.5759794122327573,0.8042090062111144,0.8849938,0.93333155,0.8708075
16,0.5648350813401439,0.7446104704387604,0.8342227,0.90664047,0.84611285
17,0.5113036328207248,0.7257188009837318,0.824727,0.8953561,0.8338574
18,0.5318696003742319,0.7425916601741125,0.8340055,0.90191835,0.8477937
19,0.5268558473498733,0.6499554758507108,0.7875713,0.8428383,0.78690547
20,0.48991505699182947,0.7001840694556161,0.81795096,0.87567973,0.8152871
21,0.48375523594952136,0.7580428970238519,0.84393996,0.9093242,0.85733545
22,0.458623279339422,0.8656192138081505,0.91762096,0.95356053,0.9195388
23,0.43923728065515955,0.6767396633587186,0.80735034,0.8529814,0.8067386
24,0.4466930561595493,0.9201195514391339,0.95044625,0.9729241,0.954164
25,0.4406836580031763,0.7504905750827183,0.8499398,0.90028226,0.8476829
26,0.39085587622627377,0.7570353710935229,0.8543383,0.9073029,0.84735674
27,0.38542871910428245,0.8969076588040307,0.9366434,0.96043444,0.94392127
28,0.3512686621890497,0.8082772928570944,0.89114904,0.9163233,0.8894028
29,0.34192607043281437,0.742342504244002,0.8509182,0.88920057,0.84397125
