epoch,train_loss,val_loss,rmse_Qi,rmse_Qe,rmse_Gamma
1,1.0260439278472084,1.3985002263774717,1.1613797,1.2236799,1.1615963
2,0.9874171489461004,1.3444761968240506,1.1295478,1.2006072,1.1472104
3,0.9221131911445762,1.2306926925250186,1.0886595,1.1542958,1.0837432
4,0.7928077744920725,6.655978450930215,2.409873,2.5834305,2.7361164
5,0.7121681978062886,0.8581880457032987,0.9028472,0.97072804,0.90394604
6,0.7015938376023517,0.8561919071083146,0.8975138,0.9670847,0.9098308
7,0.6493872702929385,0.9089346002878212,0.93195516,0.9919023,0.93508977
8,0.6219303750087252,0.8532450721273578,0.89836836,0.9573151,0.91444916
9,0.611280936535781,0.7279899975633234,0.8230874,0.8973965,0.83736336
10,0.6145012314080546,0.7799304131327606,0.85534656,0.9243923,0.86814356
11,0.59848945121455,0.9714555753682687,0.96113145,1.0329223,0.96107435
12,0.5719344861058362,0.9014370314231733,0.9306282,0.98993737,0.9264274
13,0.5506986736605161,0.6525218959867469,0.7845275,0.8523118,0.7846319
14,0.524377325847543,0.796350285410881,0.8619153,0.9427288,0.8702961
15,0.5257326364921038,0.6587953274933304,0.7850348,0.8621419,0.7853773
16,0.48194341745156904,0.714665864783574,0.81865746,0.89392346,0.8214004
17,0.49388741728090013,0.813731269623206,0.8811714,0.93839306,0.885522
18,0.4488455753743164,0.8392124758745597,0.8930697,0.93897533,0.91563594
19,0.43257740955688767,0.690286556637384,0.81308293,0.8654761,0.812839
20,0.4257008890169584,0.8358773803868429,0.8896275,0.94990754,0.9021479
21,0.42005170344660275,0.8358348775200728,0.8889797,0.9569338,0.8952635
22,0.38024052081069326,0.7930797218549542,0.8749317,0.91759896,0.878491
23,0.37906140589778664,0.8052367536517663,0.87638617,0.9310773,0.88360214
