epoch,train_loss,val_loss,rmse_Qi,rmse_Qe,rmse_Gamma
1,1.0530886170962568,1.2596673089846047,1.1110055,1.1430076,1.1127446
2,1.0249716145450738,1.247779643641109,1.1064633,1.1361799,1.1082301
3,0.997902753078832,1.2512749633957854,1.1155437,1.1350552,1.1050051
4,0.9729351049679219,1.2938276328871736,1.142535,1.1587238,1.1106106
5,0.9339365572352677,1.3105919297817534,1.1533527,1.1638888,1.116654
6,0.8583533909820174,1.2545586054304005,1.1241313,1.1387552,1.096924
7,0.7737627607003777,2.173212963922889,1.5425081,1.3992883,1.4772612
8,0.6943654082166059,10.15079152478581,3.4471145,2.5317478,3.4871225
9,0.6422994852417689,2.407906413078308,1.5887195,1.4714954,1.5919776
10,0.6426259026063227,1.4419263675149563,1.2250351,1.1672986,1.2093312
11,0.594835744582798,6.004243076375101,2.6151004,2.1135433,2.5897708
12,0.5779114924700914,2.3680089606648,1.5915225,1.4574243,1.5642889
13,0.5913936100174896,0.7027885766155952,0.8248986,0.8741651,0.8147044
14,0.5672492461394419,1.1015247813368265,1.0406028,1.0352293,1.0723897
15,0.5070272300798985,0.7169073493079802,0.8351243,0.87955403,0.8244235
16,0.47028532967103265,0.6744906459234458,0.81367767,0.8538645,0.79518294
17,0.4506862327060868,0.7646060369711006,0.8675938,0.907572,0.84700185
18,0.4431473790368499,0.8124890601740474,0.8896367,0.9419739,0.87103343
19,0.4231440015247086,0.6649307656077157,0.8077411,0.8473222,0.79018426
20,0.41414656294482294,0.6748767215593726,0.81258655,0.84955364,0.8016186
21,0.4273261512275291,0.6262269948436096,0.78080946,0.8200232,0.77238566
22,0.41240385148377545,0.707166874303227,0.8288213,0.8720546,0.8210219
23,0.38476952409322285,0.7732451616135319,0.87275755,0.91242534,0.8517688
24,0.38430444628088173,1.7799581162697447,1.3435549,1.3339521,1.32488
25,0.3918176715352894,0.7296331181990362,0.84218353,0.88849074,0.83078897
26,0.34036421239551895,0.7113838005909877,0.8356449,0.87194407,0.8219261
27,0.3175318591010957,0.670771054461994,0.80495965,0.8506572,0.8004595
28,0.3401085179639777,0.6800631822737973,0.8159337,0.8509674,0.80640936
29,0.3423391424976619,0.8108572305831234,0.8970532,0.92872864,0.8748317
30,0.302477285353835,0.716428264052467,0.8439818,0.87108064,0.8235278
