epoch,train_loss,val_loss,rmse_Qi,rmse_Qe,rmse_Gamma
1,1.062556614070178,2.487134919591146,1.555665,1.6215671,1.5530068
2,1.0125687574142734,2.499605496962593,1.559059,1.6226468,1.5605025
3,0.9909208751704595,2.7019710059035313,1.6575688,1.6359285,1.6377172
4,0.9542464556759351,2.320371799987473,1.4870063,1.5793637,1.5018445
5,0.9172565697534988,2.238356123640113,1.4509867,1.5509286,1.4846969
6,0.8616572779063221,2.8379692027013594,1.6556942,1.6912844,1.7064996
7,0.7827207791750834,3.9824035592275124,1.8986983,1.9996487,2.0841203
8,0.7363779577490401,6.932322430284056,2.5195243,2.6942177,2.681446
9,0.6954046651108624,6.049451723490676,2.3977377,2.5042882,2.4754293
10,0.6580336450441787,7.923773981120489,2.766949,2.844542,2.8326485
11,0.6490282680345997,1.9189074545690459,1.3613173,1.4337462,1.3593777
12,0.6302803149234214,1.3866938591411668,1.1641214,1.2232054,1.1439717
13,0.6288956234988556,1.3896125690271592,1.1573479,1.2305491,1.1467924
14,0.5892770315550234,1.5340983861521498,1.2200215,1.2931689,1.2006478
15,0.6244697252365008,1.4856399070114306,1.198953,1.2782676,1.1770574
16,0.5809080224467195,1.551244507097218,1.2255585,1.3066871,1.2017946
17,0.5441377933166888,1.4244495990545782,1.1701759,1.2448859,1.1637418
18,0.5499684456820901,1.3964657981510031,1.1628612,1.2288677,1.1519697
19,0.5112310597613522,1.4265796680973,1.1751517,1.2499228,1.1560503
20,0.5300577018903271,1.3926728098359826,1.1581359,1.2279949,1.1527219
21,0.5291509620130879,1.4747104620280331,1.1916785,1.2612882,1.1887752
22,0.47554047140356615,1.5601632660382414,1.2215477,1.3043216,1.219449
23,0.4613473652160331,1.6731332985505665,1.2679815,1.3387591,1.2725363
24,0.448651116324342,2.3071227326785047,1.4942571,1.5519115,1.5100118
25,0.42469771757517777,1.6135462951170254,1.2428714,1.3171446,1.2494158
26,0.3927366945841541,1.5186231879338825,1.210642,1.2805072,1.2043737
27,0.38232228088460557,1.5251493258019015,1.2061418,1.2861066,1.2110323
28,0.3555178607571615,1.7293417290465471,1.2878274,1.3644365,1.2914481
29,0.31839494379960237,1.6191339860223743,1.2573849,1.3153472,1.2434818
30,0.31199765518375727,1.6200906487360394,1.2523421,1.3172958,1.2476557
