epoch,train_loss,val_loss,rmse_Qi,rmse_Qe,rmse_Gamma
1,1.0853535050437564,1.5479850761947178,1.2323678,1.2796576,1.2197139
2,1.0252972254677424,1.5498288628600894,1.2270473,1.2845491,1.2222012
3,1.0098228505048803,1.5316165099068293,1.2199619,1.27641,1.2154505
4,0.9966867786866648,1.528249603178766,1.2244877,1.272218,1.2111316
5,0.9860395281403153,1.5199739880978116,1.2192084,1.2669296,1.2117522
6,0.9733684390940994,1.5145349289689745,1.2161586,1.266364,1.2086707
7,0.9519475521864714,1.4904752747407035,1.2119417,1.2580824,1.1915756
8,0.9084913396330737,1.3717814981937408,1.1700588,1.2112293,1.131031
9,0.8305345004197782,1.0876441777698578,1.0255303,1.0992364,1.0014489
10,0.7752419006887568,2.5547768180332486,1.7092632,1.5580064,1.5216323
11,0.7222861155631051,0.9412899320087735,0.95830256,1.0228572,0.9269784
12,0.7255035563120766,2.1683401323500133,1.5092639,1.4744145,1.4329153
13,0.7119063747622979,1.1789064095133828,1.0780747,1.1338384,1.0434965
14,0.7004737688435448,1.077390972584013,1.0274993,1.0830543,1.0017045
15,0.666953080230289,0.9104705843187514,0.942335,1.0000893,0.9182796
16,0.6641077017657971,0.8200428159463973,0.8930543,0.95390767,0.8675495
17,0.5900205613444092,0.8426893833610747,0.9063394,0.9589158,0.88718516
18,0.6490535404947069,0.7803359552035256,0.8695659,0.92792004,0.8507802
19,0.6259722192451437,0.7861600487478195,0.87070715,0.9315758,0.8558712
20,0.5841596661105989,0.7912941518284026,0.8798629,0.92856866,0.8587694
21,0.6114988995607568,0.7440744787454605,0.8478576,0.90538514,0.8328501
22,0.6085294970759639,0.7228462537602772,0.84233236,0.8897929,0.816874
23,0.5890168203878655,0.9081351142081003,0.94538933,0.9831099,0.92959034
24,0.5755338419682134,0.8371856444411807,0.9069108,0.95137113,0.8854168
25,0.5562967487743923,0.7321648351729863,0.84908557,0.89437354,0.8219759
26,0.5643159658820541,0.719571925817974,0.8425864,0.88644904,0.8142306
27,0.5650007787835661,0.828641276510935,0.89813447,0.945213,0.88648206
28,0.5495336642341008,0.7607010120437259,0.8633922,0.9043781,0.8477951
29,0.5369428446683934,0.9034115397740924,0.94209886,0.9764478,0.93232715
30,0.5350245015015678,0.8108857699802944,0.889474,0.9353478,0.8755672
